speciname | taxstat
Kallstroemia tribuloides (Mart.) Steud. | Accepted
Larrea ameghinoi Speg. | Accepted
Larrea cuneifolia Cav. | Accepted
Larrea divaricata Cav. | Accepted
Larrea mexicana Moric. | Accepted
Larrea nitida Cav. | Accepted
Larrea tridentata (Sessé & Moc. ex DC.) Coville | Accepted
Malacocarpus crithmifolius (Retz.) C.A. Mey. | Accepted
Metharme lanata Phil. ex Engl. | Accepted
Morkillia acuminata Rose & Painter | Accepted
Morkillia mexicana (DC.) Rose & Painter | Accepted
Neoschroetera tridentata (Sessé & Moc. ex DC.) Briq. | Accepted
Pintoa chilensis Gay | Accepted
Plectrocarpa rougesii Descole, O'Donell & Lourteig | Accepted
Plectrocarpa tetracantha Gillies ex Hook. & Arn. | Accepted
Porlieria angustifolia (Engelm.) A. Gray | Accepted
Porlieria chilensis I.M. Johnst. | Accepted
Porlieria hygrometra Ruiz & Pav. | Accepted
Porlieria microphylla (Baill.) Descole, O'Donell & Lourteig | Accepted
Sarcozygium kaschgaricum (Boriss.) Y.X. Liou | Accepted
Seetzenia lanata (Willd.) Bullock | Accepted
Sericodes greggii A. Gray | Accepted
Tetraena madagascariensis (Baill.) Beier & Thulin | Accepted
Tetraena madecassa (H. Perrier) Beier & Thulin | Accepted
Tetraena mongolica Maxim. | Accepted
Tribulus cistoides L. | Accepted
Tribulus echinops Kers | Accepted
Tribulus excrucians Wawra | Accepted
Tribulus longipetalus Viv. | Accepted
Tribulus macropterus Boiss. | Accepted
Tribulus terrestris L. | Accepted
Tribulus zeyheri Sond. | Accepted
Viscainoa pinnata (I.M. Johnst.) Gentry | Accepted
Zygophyllum album L.f. | Accepted
Zygophyllum atriplicoides Fisch. & C.A. Mey. | Accepted
Zygophyllum brachypterum Kar. & Kir. | Accepted
Zygophyllum cordifolium L. f. | Accepted
Zygophyllum darvasicum Boriss. | Accepted
Zygophyllum dregeanum Sond. | Accepted
Zygophyllum eurypterum Boiss. & Buhse | Accepted
Zygophyllum fabago L. | Accepted
Zygophyllum fabagoides Popov | Accepted
Zygophyllum gobicum Maxim. | Accepted
Zygophyllum gontscharovii Boriss | Accepted
Zygophyllum iliense Popov | Accepted
Zygophyllum jaxarticum Popov | Accepted
Zygophyllum kansuense Y.X. Liou | Accepted
Zygophyllum loczyi Kanitz | Accepted
Zygophyllum longicapsulare Schinz | Accepted
Zygophyllum macrophyllum Regel & Schmalh. | Accepted
Zygophyllum macropodum Boriss. | Accepted
Zygophyllum macropterum C.A.Mey. | Accepted
Zygophyllum megacarpum Boriss. | Accepted
Zygophyllum mucronatum Maxim. | Accepted
Zygophyllum obliquum Popov | Accepted
Zygophyllum orbiculatum Welw. ex Oliv. | Accepted
Zygophyllum ovigerum Fisch. & C.A.Mey. ex Bunge | Accepted
Zygophyllum oxianum Boriss. | Accepted
Zygophyllum oxycarpum Popov | Accepted
Zygophyllum pinnatum Cham. | Accepted
Zygophyllum potaninii Maxim. | Accepted
Zygophyllum pterocarpum Bunge | Accepted
Zygophyllum pubescens Schinz | Accepted
Zygophyllum rosowii Bunge | Accepted
Zygophyllum simplex L. | Accepted
Zygophyllum sinkiangense Y.X. Liou | Accepted
Zygophyllum sonderi H. Eichler | Accepted
Zygophyllum suffruticosum Schinz | Accepted
Zygophyllum xanthoxylon (Bunge) Maxim. | Accepted
