speciname | taxstat
Dioscorea brownii Schinz | Accepted
Dioscorea bryoniifolia Poepp. | Accepted
Dioscorea buchananii Benth. | Accepted
Dioscorea bulbifera L. | Accepted
Dioscorea bulbotricha Hand.-Mazz. | Accepted
Dioscorea burchellii Baker | Accepted
Dioscorea burkilliana J.Miège | Accepted
Dioscorea cachipuertensis Ayala | Accepted
Dioscorea calcicola Prain & Burkill | Accepted
Dioscorea caldasensis R.Knuth | Accepted
Dioscorea calderillensis R.Knuth | Accepted
Dioscorea callacatensis R.Knuth | Accepted
Dioscorea cambodiana Prain & Burkill | Accepted
Dioscorea campanulata Uline ex R.Knuth | Accepted
Dioscorea campestris Griseb. | Accepted
Dioscorea campos-portoi R.Knuth | Accepted
Dioscorea carionis Prain & Burkill | Accepted
Dioscorea carpomaculata O.Téllez & B.G.Schub. | Accepted
Dioscorea castilloniana Hauman | Accepted
Dioscorea catharinensis R.Knuth | Accepted
Dioscorea caucasica Lipsky | Accepted
Dioscorea cayennensis Lam. | Accepted
Dioscorea ceratandra Uline ex R.Knuth | Accepted
Dioscorea chacoensis R.Knuth | Accepted
Dioscorea chagllaensis R.Knuth | Accepted
Dioscorea chancayensis R.Knuth | Accepted
Dioscorea chaponensis R.Knuth | Accepted
Dioscorea chiapasensis Matuda | Accepted
Dioscorea chimborazensis R.Knuth | Accepted
Dioscorea chingii Prain & Burkill | Accepted
Dioscorea choriandra Uline ex R.Knuth | Accepted
Dioscorea chouardii Gaussen | Accepted
Dioscorea cienegensis R.Knuth | Accepted
Dioscorea cinnamomifolia Hook. | Accepted
Dioscorea cirrhosa Lour. | Accepted
Dioscorea cissophylla Phil. | Accepted
Dioscorea claessensii De Wild. | Accepted
Dioscorea claussenii Uline ex R.Knuth | Accepted
Dioscorea claytonii Ayala | Accepted
Dioscorea cochleariapiculata De Wild. | Accepted
Dioscorea collettii Hook.f. | Accepted
Dioscorea communis (L.) Caddick & Wilkin | Accepted
Dioscorea commutata R.Knuth | Accepted
Dioscorea comorensis R.Knuth | Accepted
Dioscorea composita Hemsl. | Accepted
Dioscorea contracta R.Knuth | Accepted
Dioscorea convolvulacea Cham. & Schltdl. | Accepted
Dioscorea conzattii R.Knuth | Accepted
Dioscorea cordifolia Laness. | Accepted
Dioscorea coreana (Prain & Burkill) R.Knuth | Accepted
Dioscorea coriacea Humb. & Bonpl. ex Willd. | Accepted
Dioscorea coripatenis J.F.Macbr. | Accepted
Dioscorea coripatensis J. Macbr. | Accepted
Dioscorea coronata Hauman | Accepted
Dioscorea cotinifolia Kunth | Accepted
Dioscorea craibiana Prain & Burkill | Accepted
Dioscorea crateriflora R.Knuth | Accepted
Dioscorea crotalariifolia Uline | Accepted
Dioscorea cruzensis R.Knuth | Accepted
Dioscorea cubensis R.Knuth | Accepted
Dioscorea cumingii Prain & Burkill | Accepted
Dioscorea curitybensis R.Knuth | Accepted
Dioscorea cuspidata Humb. & Bonpl. ex Willd. | Accepted
Dioscorea cuyabensis R.Knuth | Accepted
Dioscorea cyanisticta J.D.Sm. | Accepted
Dioscorea cymosula Hemsl. | Accepted
Dioscorea cyphocarpa C.B.Rob. ex Knuth | Accepted
Dioscorea daunea Prain & Burkill | Accepted
Dioscorea davidsei O.Téllez | Accepted
Dioscorea de-mourae Uline ex R.Knuth | Accepted
Dioscorea debilis Uline ex R.Knuth | Accepted
Dioscorea decaryana H.Perrier | Accepted
Dioscorea decipiens Hook.f. | Accepted
Dioscorea decorticans C.Presl | Accepted
Dioscorea deflexa Griseb. | Accepted
Dioscorea delavayi Franch. | Accepted
Dioscorea delicata R.Knuth | Accepted
Dioscorea deltoidea Wall. ex Griseb. | Accepted
Dioscorea dendrotricha Uline | Accepted
Dioscorea densiflora Hemsl. | Accepted
Dioscorea depauperata Prain & Burkill | Accepted
Dioscorea diamantinensis R.Knuth | Accepted
Dioscorea dicranandra Donn.Sm. | Accepted
Dioscorea dielsii R.Knuth | Accepted
Dioscorea dissimulans Prain & Burkill | Accepted
Dioscorea divaricata Blanco | Accepted
Dioscorea diversifolia Griseb. | Accepted
Dioscorea dodecaneura Vell. | Accepted
Dioscorea dregeana (Kunth) T.Durand & Schinz | Accepted
Dioscorea duchassaingii R.Knuth | Accepted
Dioscorea dugesii C.B.Rob. | Accepted
Dioscorea dumetorum (Kunth) Pax | Accepted
Dioscorea dumetosa Uline ex R.Knuth | Accepted
Dioscorea ekmanii R.Knuth | Accepted
Dioscorea elegans Ridl. ex Prain & Burkill | Accepted
Dioscorea elephantipes (L'Hér.) Engl. | Accepted
Dioscorea entomophila Hauman | Accepted
Dioscorea epistephioides Taub. | Accepted
Dioscorea escuintlensis Matuda | Accepted
Dioscorea esculenta (Lour.) Burkill | Accepted
Dioscorea esquirolii Prain & Burkill | Accepted
Dioscorea exalata C.T.Ting & M.C.Chang | Accepted
Dioscorea fandra H.Perrier | Accepted
Dioscorea fasciculocongesta (Sosa & B.G.Schub.) O.Téllez | Accepted
Dioscorea fastigiata Gay | Accepted
Dioscorea fendleri R.Knuth | Accepted
Dioscorea ferreyrae Ayala | Accepted
Dioscorea filiformis Blume | Accepted
Dioscorea flabellifolia Prain & Burkill | Accepted
Dioscorea flaccida R.Knuth | Accepted
Dioscorea floribunda M.Martens & Galeotti | Accepted
