familyid | genusid | latinname | namezh | lowertaxa
10583 | 112666 | Fatoua | 水蛇麻属 | 2
10583 | 112770 | Ficus | 榕属 | 137
10583 | 119276 | Maclura | 柘属 | 5
10583 | 119522 | Malaisia | 牛筋藤属 | 1
10583 | 121220 | Morus | 桑属 | 15
10583 | 131674 | Streblus | 鹊肾树属 | 7
10584 | 100079 | Acanthocalyx | 刺续断属 | 4
10584 | 121191 | Morina | 刺参属 | 8
10585 | 121194 | Moringa | 辣木属 | 1
10588 | 111727 | Ensete | 象腿蕉属 | 2
10588 | 121345 | Musa | 芭蕉属 | 23
10588 | 200084 | Musella | 地涌金莲属 | 2
10592 | 124369 | Pentacoelium | 苦槛蓝属 | 1
10594 | 121458 | Myrica | 杨梅属 | 4
10596 | 115781 | Horsfieldia | 风吹楠属 | 3
10596 | 117167 | Knema | 红光树属 | 6
10596 | 121489 | Myristica | 肉豆蔻属 | 2
10598 | 100650 | Aegiceras | 蜡烛果属 | 1
10598 | 102511 | Ardisia | 紫金牛属 | 71
10598 | 111532 | Embelia | 酸藤子属 | 18
10598 | 119441 | Maesa | 杜茎山属 | 31
10598 | 121522 | Myrsine | 铁仔属 | 11
10598 | 128999 | Sadiria |   | 
10599 | 103344 | Baeckea | 岗松属 | 1
10599 | 109435 | Decaspermum | 子楝树属 | 8
10599 | 112247 | Eucalyptus | 桉属 | 27
10599 | 112307 | Eugenia | 番樱桃属 | 1
10599 | 118943 | Lophostemon | 红胶木属 | 1
10599 | 120051 | Melaleuca | 白千层属 | 1
10599 | 127317 | Psidium | 番石榴属 | 2
10599 | 128366 | Rhodamnia | 玫瑰木属 | 3
10599 | 128396 | Rhodomyrtus | 桃金娘属 | 1
10599 | 132166 | Syzygium | 蒲桃属 | 90
10608 | 121800 | Nelumbo | 莲属 | 1
10610 | 122137 | Nepenthes | 猪笼草属 | 1
20209 | 122347 | Nitraria | 白刺属 | 5
10617 | 104164 | Boerhavia | 黄细心属 | 5
10617 | 104374 | Bougainvillea | 叶子花属 | 2
10617 | 107777 | Commicarpus | 粘腺果属 | 2
10617 | 120783 | Mirabilis | 紫茉莉属 | 1
10617 | 123476 | Oxybaphus | 山紫茉莉属 | 1
10617 | 125604 | Pisonia | 腺果藤属 | 3
10618 | 112398 | Euryale | 芡属 | 1
10618 | 122507 | Nuphar | 萍蓬草属 | 4
10618 | 122531 | Nymphaea | 睡莲属 | 5
10619 | 105440 | Camptotheca | 喜树属 | 2
10619 | 109383 | Davidia | 珙桐属 | 3
10619 | 122537 | Nyssa | 蓝果树属 | 7
10620 | 105475 | Campylospermum | 赛金莲木属 | 2
10620 | 122576 | Ochna | 金莲木属 | 1
10620 | 129342 | Sauvagesia | 合柱金莲木属 | 1
10624 | 112170 | Erythropalum | 赤苍藤属 | 1
10624 | 119524 | Malania | 蒜头果属 | 1
10624 | 122768 | Olax | 铁青树属 | 3
10624 | 129643 | Schoepfia | 青皮木属 | 6
10624 | 135125 | Ximenia | 海檀木属 | 1
10625 | 106706 | Chionanthus | 流苏树属 | 9
10625 | 112917 | Fontanesia | 雪柳属 | 1
10625 | 112951 | Forsythia | 连翘属 | 6
10625 | 113002 | Fraxinus | 陉属 | 24
10625 | 116771 | Jasminum | 茉莉属 | 51
10625 | 118549 | Ligustrum | 女贞属 | 43
10625 | 121559 | Myxopyrum | 胶核木属 | 2
10625 | 122774 | Olea | 木犀榄属 | 15
10625 | 123328 | Osmanthus | 木犀属 | 28
10625 | 132143 | Syringa | 丁香属 | 30
10630 | 106488 | Chamerion | 柳兰属 | 6
10630 | 107126 | Circaea | 露珠草属 | 17
10630 | 111844 | Epilobium | 柳叶菜属 | 39
10630 | 113335 | Gaura | 山桃草属 | 1
10630 | 119063 | Ludwigia | 丁香蓼属 | 9
10630 | 122735 | Oenothera | 月见草属 | 10
10636 | 105529 | Cansjera | 山柑藤属 | 1
10636 | 106501 | Champereia | 台湾山柚属 | 3
10636 | 118092 | Lepionurus | 鳞尾木属 | 1
10636 | 123018 | Opilia | 山柚子属 | 1
10636 | 134213 | Urobotrya | 尾球木属 | 1
10638 | 100067 | Acampe | 脆兰属 | 3
10638 | 200100 | Acanthephippium | 坛花兰属 | 3
10638 | 100328 | Acriopsis | 合萼兰属 | 1
10638 | 100684 | Aerides | 指甲兰属 | 5
10638 | 313139 | Aeridostachya | 气穗兰属 | 1
10638 | 100857 | Agrostophyllum | 禾叶兰属 | 3
10638 | 101363 | Amitostigma | 无柱兰属 | 22
10638 | 101681 | Androcorys | 兜蕊兰属 | 5
10638 | 101904 | Anoectochilus | 金线兰属 | 11
10638 | 102043 | Anthogonium | 筒瓣兰属 | 1
10638 | 102234 | Aphyllorchis | 无叶兰属 | 5
10638 | 102345 | Apostasia | 拟兰属 | 3
10638 | 102352 | Appendicula | 牛齿兰属 | 4
10638 | 102403 | Arachnis | 蜘蛛兰属 | 3
10638 | 102739 | Arundina | 竹叶兰属 | 1
10638 | 102778 | Ascocentrum | 鸟舌兰属 | 3
10638 | 135437 | Bhutanthera | 高山兰属 | 1
10638 | 103921 | Biermannia | 胼胝兰属 | 1
10638 | 104100 | Bletilla | 白及属 | 4
10638 | 104442 | Brachycorythis | 苞叶兰属 | 4
10638 | 104730 | Bryobium | 藓兰属 | 1
10638 | 104827 | Bulbophyllum | 石豆兰属 | 134
10638 | 104836 | Bulleyia | 蜂腰兰属 | 1
10638 | 105024 | Calanthe | 虾脊兰属 | 59
10638 | 105155 | Callostylis | 美柱兰属 | 2
10638 | 105315 | Calypso | 布袋兰属 | 1
10638 | 313452 | Campanulorchis | 钟兰属 | 1
10638 | 106075 | Cephalanthera | 头蕊兰属 | 10
10638 | 106076 | Cephalantheropsis | 黄兰属 | 3
10638 | 106209 | Ceratostylis | 牛角兰属 | 3
10638 | 106414 | Chamaeanthus | 低药兰属 | 1
10638 | 106439 | Chamaegastrodia | 叠鞘兰属 | 3
10638 | 106509 | Changnienia | 独花兰属 | 1
10638 | 106614 | Cheirostylis | 叉柱兰属 | 18
10638 | 106689 | Chiloschista | 异型兰属 | 3
10638 | 106940 | Chroniochilus |   | 1
10638 | 106990 | Chrysoglossum | 金唇兰属 | 2
10638 | 107290 | Cleisostoma | 隔距兰属 | 18
10638 | 135432 | Cleisostomopsis | 拟隔距兰属 | 1
10638 | 107571 | Coelogyne | 贝母兰属 | 32
10638 | 107655 | Collabium | 吻兰属 | 3
10638 | 107816 | Conchidium | 蛤兰属 | 4
10638 | 200853 | Corallorhiza | 珊瑚兰属 | 1
10638 | 108083 | Corybas | 铠兰属 | 6
10638 | 108091 | Corymborkis | 管花兰属 | 1
10638 | 108306 | Cremastra | 杜鹃兰属 | 5
10638 | 108339 | Crepidium | 沼兰属 | 18
10638 | 108517 | Cryptochilus | 宿苞兰属 | 3
10638 | 108586 | Cryptostylis | 隐柱兰属 | 2
10638 | 108910 | Cylindrolobus | 柱兰属 | 3
10638 | 108941 | Cymbidium | 兰属 | 63
10638 | 109046 | Cypripedium | 杓兰属 | 36
10638 | 109096 | Cyrtosia | 肉果兰属 | 3
10638 | 109214 | Dactylorhiza | 掌裂兰属 | 6
10638 | 109553 | Dendrobium | 石斛属 | 96
10638 | 109560 | Dendrochilum | 足柱兰属 | 1
10638 | 109580 | Dendrolirium | 绒兰属 | 2
10638 | 110108 | Didymoplexiella | 锚柱兰属 | 1
10638 | 135435 | Didymoplexiopsis | 拟锚柱兰属 | 1
10638 | 110109 | Didymoplexis | 双唇兰属 | 3
